Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15
Original Value,32,33,34,35,36,37,38,39,40,41,42,43,44,45
Substitution Value,46,102,68,115,124,103,72,81,116,39,44,83,93,59
Original Value,46,47,48,49,50,51,52,53,54,55,56,57,58,59
Substitution Value,36,50,104,106,34,77,56,79,35,110,45,101,32,91
Original Value,60,61,62,63,64,65,66,67,68,69,70,71,72,73
Substitution Value,41,114,48,53,63,71,100,82,96,47,78,98,92,75
Original Value,74,75,76,77,78,79,80,81,82,83,84,85,86,87
Substitution Value,105,60,111,37,80,52,109,97,120,33,112,43,108,87
Original Value,88,89,90,91,92,93,94,95,96,97,98,99,100,101
Substitution Value,54,58,62,125,107,70,40,69,51,86,49,113,117,85
Original Value,102,103,104,105,106,107,108,109,110,111,112,113,114,115
Substitution Value,67,90,119,65,89,42,55,84,99,64,123,73,118,38
Original Value,116,117,118,119,120,121,122,123,124,125,126,,,
Substitution Value,61,121,76,66,95,122,94,57,126,74,88,,,